filename,node,community
17_918099,"(3, '4')",1
17_918099,"(6, '9')",1
17_918099,"(40, '13')",1
17_918099,"(41, '1')",1
17_918099,"(13, '13')",1
17_918099,"(14, '13')",1
17_918099,"(15, '13')",1
17_918099,"(4, '13')",1
17_918099,"(16, '13')",1
17_918099,"(1, '13')",1
17_918099,"(5, '13')",1
17_918099,"(2, '13')",1
17_918099,"(28, '5')",2
17_918099,"(21, '3')",2
17_918099,"(39, '6')",2
17_918099,"(23, '5')",2
17_918099,"(22, '4')",2
17_918099,"(24, '5')",2
17_918099,"(25, '5')",2
17_918099,"(26, '5')",2
17_918099,"(27, '5')",2
17_918099,"(38, '4')",2
17_918099,"(20, '4')",3
17_918099,"(159, '4')",3
17_918099,"(17, '13')",3
17_918099,"(18, '13')",3
17_918099,"(19, '13')",3
17_918099,"(12, '4')",4
17_918099,"(160, '10')",4
17_918099,"(10, '5')",4
17_918099,"(8, '5')",4
17_918099,"(9, '5')",4
17_918099,"(32, '4')",5
17_918099,"(31, '3')",5
17_918099,"(29, '5')",5
17_918099,"(30, '5')",5
17_918099,"(153, '10')",5
17_918099,"(36, '13')",5
17_918099,"(35, '5')",5
20_306098,"(84, '2')",1
20_306098,"(85, '2')",1
20_306098,"(92, '2')",1
20_306098,"(88, '2')",1
20_306098,"(89, '2')",1
20_306098,"(90, '2')",1
20_306098,"(91, '2')",1
20_306098,"(86, '2')",1
20_306098,"(87, '2')",1
20_306098,"(94, '3')",1
20_306098,"(93, '2')",1
20_306098,"(67, '4')",1
20_306098,"(406, '13')",1
20_306098,"(68, '0')",1
20_306098,"(80, '2')",2
20_306098,"(79, '2')",2
20_306098,"(8, '11')",2
20_306098,"(63, '4')",2
20_306098,"(78, '2')",2
20_306098,"(408, '13')",2
20_306098,"(62, '13')",2
20_306098,"(407, '13')",2
20_306098,"(83, '2')",3
20_306098,"(9, '11')",3
20_306098,"(410, '10')",3
20_306098,"(421, '4')",3
20_306098,"(66, '0')",3
20_306098,"(102, '13')",3
20_306098,"(81, '2')",4
20_306098,"(82, '2')",4
20_306098,"(409, '0')",4
20_306098,"(154, '13')",4
20_306098,"(413, '13')",5
20_306098,"(107, '13')",5
20_306098,"(105, '13')",5
20_306098,"(106, '13')",5
20_306098,"(10, '11')",5
20_306098,"(11, '11')",5
20_306098,"(415, '10')",5
20_306098,"(414, '10')",5
20_306098,"(416, '13')",5
20_306098,"(417, '13')",5
20_306098,"(412, '13')",5
31_644920,"(73, '5')",1
31_644920,"(40, '11')",1
31_644920,"(75, '11')",1
31_644920,"(6, '10')",1
31_644920,"(39, '11')",1
31_644920,"(77, '11')",1
31_644920,"(37, '5')",1
31_644920,"(103, '5')",1
31_644920,"(104, '5')",1
31_644920,"(36, '5')",1
31_644920,"(139, '3')",1
31_644920,"(102, '5')",1
31_644920,"(7, '10')",1
31_644920,"(86, '13')",1
31_644920,"(4, '10')",2
31_644920,"(122, '13')",2
31_644920,"(124, '5')",2
31_644920,"(113, '11')",2
31_644920,"(121, '11')",2
31_644920,"(66, '5')",2
31_644920,"(67, '5')",2
31_644920,"(125, '5')",2
31_644920,"(116, '13')",2
31_644920,"(56, '5')",2
31_644920,"(61, '11')",2
31_644920,"(63, '5')",2
31_644920,"(126, '13')",2
31_644920,"(144, '3')",3
31_644920,"(42, '5')",3
31_644920,"(53, '11')",3
31_644920,"(54, '11')",3
31_644920,"(50, '13')",3
31_644920,"(2, '10')",3
31_644920,"(48, '2')",3
31_644920,"(49, '5')",3
31_644920,"(47, '2')",3
31_644920,"(26, '13')",3
31_644920,"(110, '5')",4
31_644920,"(109, '13')",4
31_644920,"(5, '10')",4
31_644920,"(108, '11')",4
31_644920,"(112, '5')",4
31_644920,"(105, '11')",4
31_644920,"(100, '13')",4
31_644920,"(143, '3')",5
31_644920,"(46, '13')",5
31_644920,"(3, '10')",5
31_644920,"(34, '13')",5
31_644920,"(29, '2')",5
31_644920,"(30, '5')",5
31_644920,"(28, '2')",5
31_644920,"(35, '11')",5
31_644920,"(69, '5')",6
31_644920,"(70, '5')",6
31_644920,"(55, '5')",6
31_644920,"(71, '5')",7
31_644920,"(41, '5')",8
31_644920,"(11, '10')",9
31_644920,"(120, '13')",9
31_644920,"(87, '13')",10
31_644920,"(9, '10')",10
31_644920,"(10, '10')",12
